      x |       y |    x + y | x +^t_5 y | Case
--------+---------+----------+-----------+-----
    -12 |     -15 |      -27 |         5 | 1 (negative overflow)
[10100] | [10001] | [100101] |   [00101] |
     -8 |      -8 |      -16 |       -16 | 2 (normal)
[11000] | [11000] | [110000] |   [10000] |
     -9 |       8 |       -1 |        -1 | 2 (normal)
[10111] | [01000] | [111111] |   [11111] |
      2 |       5 |        7 |         7 | 3 (normal)
[00010] | [00101] | [000111] |   [00111] |
     12 |       4 |       16 |       -16 | 4 (positive overflow)
[01100] | [00100] | [010000] |   [10000] |
